#	Country (eng)	Country (nat)	Language	Bounding boxes
Belarus 	 Беларусь 	 be 	 (23.1994938494, 51.3195034857, 32.6936430193, 56.1691299506)
Belize 	 Belize 	 en 	 (-89.2291216703, 15.8869375676, -88.1068129138, 18.4999822047)
Canada 	 Canada 	 en 	 (-140.99778, 41.6751050889, -52.6480987209, 83.23324)
Congo, The Democratic Republic of the 	 République démocratique du Congo 	 fr 	 (12.1823368669, -13.2572266578, 31.1741492042, 5.25608775474)
Central African Republic 	 Centrafricaine, République 	 fr 	 (14.4594071794, 2.2676396753, 27.3742261085, 11.1423951278)
Congo 	 Congo 	 fr 	 (11.0937728207, -5.03798674888, 18.4530652198, 3.72819651938)
Switzerland 	 Schweiz 	 de 	 (6.02260949059, 45.7769477403, 10.4427014502, 47.8308275417)
Côte d'Ivoire 	 Côte d'Ivoire 	 fr 	 (-8.60288021487, 4.33828847902, -2.56218950033, 10.5240607772)
Chile 	 Chile 	 es 	 (-75.6443953112, -55.61183, -66.95992, -17.5800118954)
Cameroon 	 Cameroon 	 en 	 (8.48881554529, 1.72767263428, 16.0128524106, 12.8593962671)
China 	 中国 	 zh 	 (73.6753792663, 18.197700914, 135.026311477, 53.4588044297)
Colombia 	 Colombia 	 es 	 (-78.9909352282, -4.29818694419, -66.8763258531, 12.4373031682)
Costa Rica 	 Costa Rica 	 es 	 (-85.94172543, 8.22502798099, -82.5461962552, 11.2171192489)
Cuba 	 Cuba 	 es 	 (-84.9749110583, 19.8554808619, -74.1780248685, 23.1886107447)
Cyprus 	 Κύπρος 	 el 	 (32.2566671079, 34.5718694118, 34.0048808123, 35.1731247015)
Czechia 	 Czechia 	 cs 	 (12.2401111182, 48.5553052842, 18.8531441586, 51.1172677679)
Germany 	 Deutschland 	 de 	 (5.98865807458, 47.3024876979, 15.0169958839, 54.983104153)
Djibouti 	 Djibouti 	 fr 	 (41.66176, 10.9268785669, 43.3178524107, 12.6996385767)
Denmark 	 Danmark 	 da 	 (8.08997684086, 54.8000145534, 12.6900061378, 57.730016588)
Dominican Republic 	 República Dominicana 	 es 	 (-71.9451120673, 17.598564358, -68.3179432848, 19.8849105901)
Algeria 	 الجزائر 	 ar 	 (-8.68439978681, 19.0573642034, 11.9995056495, 37.1183806422)
Ecuador 	 Ecuador 	 es 	 (-80.9677654691, -4.95912851321, -75.2337227037, 1.3809237736)
Estonia 	 Eesti 	 et 	 (23.3397953631, 57.4745283067, 28.1316992531, 59.6110903998)
Egypt 	 مصر 	 ar 	 (24.70007, 22.0, 36.86623, 31.58568)
Spain 	 España 	 es 	 (-9.39288367353, 35.946850084, 3.03948408368, 43.7483377142)
Ethiopia 	 ጒት፥ጵ። 	 am 	 (32.95418, 3.42206, 47.78942, 14.95943)
Finland 	 Suomi 	 fi 	 (20.6455928891, 59.846373196, 31.5160921567, 70.1641930203)
Fiji 	 Fiji 	 en 	 (-180.0, -18.28799, 180.0, -16.0208822567)
Falkland Islands (Malvinas) 	 Falkland Islands (Malvinas) 	 en 	 (-61.2, -52.3, -57.75, -51.1)
France 	 France 	 fr 	 (-54.5247541978, 2.05338918702, 9.56001631027, 51.1485061713)
Gabon 	 Gabon 	 fr 	 (8.79799563969, -3.97882659263, 14.4254557634, 2.32675751384)
United Kingdom 	 United Kingdom 	 en 	 (-7.57216793459, 49.959999905, 1.68153079591, 58.6350001085)
Georgia 	 საქართველო 	 ka 	 (39.9550085793, 41.0644446885, 46.6379081561, 43.553104153)
Ghana 	 Ghana 	 en 	 (-3.24437008301, 4.71046214438, 1.0601216976, 11.0983409693)
Gambia 	 Gambia 	 en 	 (-16.8415246241, 13.1302841252, -13.8449633448, 13.8764918075)
Guinea 	 Guinée 	 fr 	 (-15.1303112452, 7.3090373804, -7.83210038902, 12.5861829696)
Equatorial Guinea 	 Guinea Ecuatorial 	 es 	 (9.3056132341, 1.01011953369, 11.285078973, 2.28386607504)
Greece 	 Ελλάδα 	 el 	 (20.1500159034, 34.9199876979, 26.6041955909, 41.8269046087)
Guatemala 	 Guatemala 	 es 	 (-92.2292486234, 13.7353376327, -88.2250227526, 17.8193260767)
Guinea-Bissau 	 Guiné-Bissáu 	 pt 	 (-16.6774519516, 11.0404116887, -13.7004760401, 12.6281700708)
Guyana 	 Guyana 	 en 	 (-61.4103029039, 1.26808828369, -56.5393857489, 8.36703481692)
Honduras 	 Honduras 	 es 	 (-89.3533259753, 12.9846857772, -83.147219001, 16.0054057886)
Croatia 	 Hrvatska 	 hr 	 (13.6569755388, 42.47999136, 19.3904757016, 46.5037509222)
Hungary 	 Magyarország 	 hu 	 (16.2022982113, 45.7594811061, 22.710531447, 48.6238540716)
Indonesia 	 Indonesia 	 id 	 (95.2930261576, -10.3599874813, 141.03385176, 5.47982086834)
Ireland 	 Ireland 	 en 	 (-9.97708574059, 51.6693012559, -6.03298539878, 55.1316222195)
India 	 India 	 en 	 (68.1766451354, 7.96553477623, 97.4025614766, 35.4940095078)
Iraq 	 العراق 	 ar 	 (38.7923405291, 29.0990251735, 48.5679712258, 37.3852635768)
Iran, Islamic Republic of 	 ایران، جمهوری اسلامی 	 fa 	 (44.1092252948, 25.0782370061, 63.3166317076, 39.7130026312)
Iceland 	 Ísland 	 is 	 (-24.3261840479, 63.4963829617, -13.609732225, 66.5267923041)
Italy 	 Italia 	 it 	 (6.7499552751, 36.619987291, 18.4802470232, 47.1153931748)
Jamaica 	 Jamaica 	 en 	 (-78.3377192858, 17.7011162379, -76.1996585761, 18.5242184514)
Jordan 	 الأردن 	 ar 	 (34.9226025734, 29.1974946152, 39.1954683774, 33.3786864284)
Japan 	 日本 	 ja 	 (129.408463169, 31.0295791692, 145.543137242, 45.5514834662)
Kenya 	 Kenya 	 en 	 (33.8935689697, -4.67677, 41.8550830926, 5.506)
Cambodia 	 កម្ពុជា 	 km 	 (102.3480994, 10.4865436874, 107.614547968, 14.5705838078)
Korea, Democratic People's Republic of 	 조선민주주의인민공화국 	 ko 	 (124.265624628, 37.669070543, 130.780007359, 42.9853868678)
Korea, Republic of 	 대한민국 	 ko 	 (126.117397903, 34.3900458847, 129.468304478, 38.6122429469)
Kuwait 	 الكويت 	 ar 	 (46.5687134133, 28.5260627304, 48.4160941913, 30.0590699326)
Kazakhstan 	 Қазақстан 	 kk 	 (46.4664457538, 40.6623245306, 87.3599703308, 55.3852501491)
Lebanon 	 لبنان 	 ar 	 (35.1260526873, 33.0890400254, 36.6117501157, 34.6449140488)
Sri Lanka 	 ශ්‍රී ලංකාව 	 si 	 (79.6951668639, 5.96836985923, 81.7879590189, 9.82407766361)
Liberia 	 Liberia 	 en 	 (-11.4387794662, 4.35575511313, -7.53971513511, 8.54105520267)
Lesotho 	 Lesotho 	 en 	 (26.9992619158, -30.6451058896, 29.3251664568, -28.6475017229)
Lithuania 	 Lietuva 	 lt 	 (21.0558004086, 53.9057022162, 26.5882792498, 56.3725283881)
Latvia 	 Latvija 	 lv 	 (21.0558004086, 55.61510692, 28.1767094256, 57.9701569688)
Libya 	 ليبيا 	 ar 	 (9.31941084152, 19.58047, 25.16482, 33.1369957545)
Morocco 	 المغرب 	 ar 	 (-17.0204284327, 21.4207341578, -1.12455115397, 35.7599881048)
Moldova, Republic of 	 Moldova, Republica 	 ro 	 (26.6193367856, 45.4882831895, 30.0246586443, 48.4671194525)
Montenegro 	 Црна Гора 	 sr 	 (18.45, 41.87755, 20.3398, 43.52384)
Madagascar 	 Madagascar 	 fr 	 (43.2541870461, -25.6014344215, 50.4765368996, -12.0405567359)
North Macedonia 	 North Macedonia 	 mk 	 (20.46315, 40.8427269557, 22.9523771502, 42.3202595078)
Mali 	 Mali 	 fr 	 (-12.1707502914, 10.0963607854, 4.27020999514, 24.9745740829)
Mongolia 	 Монгол 	 mn 	 (87.7512642761, 41.5974095729, 119.772823928, 52.0473660345)
Mauritania 	 موريتانيا 	 ar 	 (-17.0634232243, 14.6168342147, -4.92333736817, 27.3957441269)
Mexico 	 México 	 es 	 (-117.12776, 14.5388286402, -86.811982388, 32.72083)
Malaysia 	 Malaysia 	 ms 	 (100.085756871, 0.773131415201, 119.181903925, 6.92805288332)
Mozambique 	 Moçambique 	 pt 	 (30.1794812355, -26.7421916643, 40.7754752948, -10.3170960425)
Namibia 	 Namibia 	 en 	 (11.7341988461, -29.045461928, 25.0844433937, -16.9413428687)
New Caledonia 	 Nouvelle-Calédonie 	 fr 	 (164.029605748, -22.3999760881, 167.120011428, -20.1056458473)
Niger 	 Niger 	 fr 	 (0.295646396495, 11.6601671412, 15.9032466977, 23.4716684026)
Nigeria 	 Nigeria 	 en 	 (2.69170169436, 4.24059418377, 14.5771777686, 13.8659239771)
Nicaragua 	 Nicaragua 	 es 	 (-87.6684934151, 10.7268390975, -83.147219001, 15.0162671981)
Netherlands 	 Nederland 	 nl 	 (3.31497114423, 50.803721015, 7.09205325687, 53.5104033474)
Nepal 	 नेपाल 	 ne 	 (80.0884245137, 26.3978980576, 88.1748043151, 30.4227169866)
New Zealand 	 New Zealand 	 en 	 (166.509144322, -46.641235447, 178.517093541, -34.4506617165)
Oman 	 عمان 	 ar 	 (52.0000098, 16.6510511337, 59.8080603372, 26.3959343531)
Panama 	 Panamá 	 es 	 (-82.9657830472, 7.2205414901, -77.2425664944, 9.61161001224)
Peru 	 Perú 	 es 	 (-81.4109425524, -18.3479753557, -68.6650797187, -0.0572054988649)
Papua New Guinea 	 Papua New Guinea 	 en 	 (141.000210403, -10.6524760881, 156.019965448, -2.50000212973)
Philippines 	 Pilipinas 	 tl 	 (117.17427453, 5.58100332277, 126.537423944, 18.5052273625)
Poland 	 Polska 	 pl 	 (14.0745211117, 49.0273953314, 24.0299857927, 54.8515359564)
Puerto Rico 	 Puerto Rico 	 en 	 (-67.2424275377, 17.946553453, -65.5910037909, 18.5206011011)
Palestine, State of 	 Palestine, State of 	 ar 	 (34.9274084816, 31.3534353704, 35.5456653175, 32.5325106878)
Portugal 	 Portugal 	 pt 	 (-9.52657060387, 36.838268541, -6.3890876937, 42.280468655)
Paraguay 	 Paraguay 	 es 	 (-62.6850571357, -27.5484990374, -54.2929595608, -19.3427466773)
Qatar 	 قطر 	 ar 	 (50.7439107603, 24.5563308782, 51.6067004738, 26.1145820175)
Romania 	 România 	 ro 	 (20.2201924985, 43.6884447292, 29.62654341, 48.2208812526)
Serbia 	 Србија 	 sr 	 (18.82982, 42.2452243971, 22.9860185076, 46.1717298447)
Russian Federation 	 Российская Федерация 	 ru 	 (-180.0, 41.151416124, 180.0, 81.2504)
Saudi Arabia 	 السّعوديّة 	 ar 	 (34.6323360532, 16.3478913436, 55.6666593769, 32.161008816)
Solomon Islands 	 Solomon Islands 	 en 	 (156.491357864, -10.8263672828, 162.398645868, -6.59933847415)
Sudan 	 السّودان 	 ar 	 (21.93681, 8.61972971293, 38.4100899595, 22.0)
South Sudan 	 South Sudan 	 en 	 (23.8869795809, 3.50917, 35.2980071182, 12.2480077571)
Sweden 	 Sverige 	 sv 	 (11.0273686052, 55.3617373725, 23.9033785336, 69.1062472602)
Slovenia 	 Slovenija 	 sl 	 (13.6981099789, 45.4523163926, 16.5648083839, 46.8523859727)
Slovakia 	 Slovensko 	 sk 	 (16.8799829444, 47.7584288601, 22.5581376482, 49.5715740017)
Sierra Leone 	 Sierra Leone 	 en 	 (-13.2465502588, 6.78591685631, -10.2300935531, 10.0469839543)
Senegal 	 Sénégal 	 fr 	 (-17.6250426905, 12.332089952, -11.4678991358, 16.5982636581)
Somalia 	 Soomaaliya 	 so 	 (40.98105, -1.68325, 51.13387, 12.02464)
Suriname 	 Suriname 	 nl 	 (-58.0446943834, 1.81766714112, -53.9580446031, 6.0252914494)
El Salvador 	 El Salvador 	 es 	 (-90.0955545723, 13.1490168319, -87.7235029772, 14.4241327987)
Syrian Arab Republic 	 الجمهوريّة العربيّة السّوريّة 	 ar 	 (35.7007979673, 32.312937527, 42.3495910988, 37.2298725449)
Eswatini 	 Eswatini 	 en 	 (30.6766085141, -27.2858794085, 32.0716654803, -25.660190525)
Chad 	 Tchad 	 fr 	 (13.5403935076, 7.42192454674, 23.88689, 23.40972)
French Southern Territories 	 Terres australes françaises 	 fr 	 (68.72, -49.775, 70.56, -48.625)
Togo 	 Togo 	 fr 	 (-0.0497847151599, 5.92883738853, 1.86524051271, 11.0186817489)
Thailand 	 ไทย 	 th 	 (97.3758964376, 5.69138418215, 105.589038527, 20.4178496363)
Tunisia 	 تونس 	 ar 	 (7.52448164229, 30.3075560572, 11.4887874691, 37.3499944118)
Turkey 	 Türkiye 	 tr 	 (26.0433512713, 35.8215347357, 44.7939896991, 42.1414848903)
Trinidad and Tobago 	 Trinidad and Tobago 	 en 	 (-61.95, 10.0, -60.895, 10.89)
Taiwan, Province of China 	 中国台湾省 	 zh 	 (120.106188593, 21.9705713974, 121.951243931, 25.2954588893)
Tanzania, United Republic of 	 Tanzania, United Republic of 	 sw 	 (29.3399975929, -11.7209380022, 40.31659, -0.95)
Ukraine 	 Україна 	 uk 	 (22.0856083513, 44.3614785833, 40.0807890155, 52.3350745713)
Uganda 	 Uganda 	 en 	 (29.5794661801, -1.44332244223, 35.03599, 4.24988494736)
United States 	 United States 	 en 	 (-171.791110603, 18.91619, -66.96466, 71.3577635769)
Uruguay 	 Uruguay 	 es 	 (-58.4270741441, -34.9526465797, -53.209588996, -30.1096863746)
Venezuela, Bolivarian Republic of 	 Venezuela, República Bolivariana de 	 es 	 (-73.3049515449, 0.724452215982, -59.7582848782, 12.1623070337)
Viet Nam 	 Việt Nam 	 vi 	 (102.170435826, 8.59975962975, 109.33526981, 23.3520633001)
Yemen 	 اليمن 	 ar 	 (42.6048726743, 12.5859504257, 53.1085726255, 19.0000033635)
South Africa 	 I-Mzantsi Afrika 	 zu 	 (16.3449768409, -34.8191663551, 32.830120477, -22.0913127581)
Zambia 	 Zambia 	 en 	 (21.887842645, -17.9612289364, 33.4856876971, -8.23825652429)
Zimbabwe 	 Zimbabwe 	 en 	 (25.2642257016, -22.2716118303, 32.8498608742, -15.5077869605)
